Judge Name:,John Doe,,,,,,,"See criteria descriptions on the right
--------------> ",Judging Rubric and Descriptions,,,,,,,,,
Track to Assess:,Defi,,,,,,,,,,,,,,,,,
Airtable View URL:,,,,,,,,,,,,,,,,,,
"Project
Name","Concept /
Idea
(0-10)","Technical Functionality and Implementation
(0-10)","Complexity and sophistication
(0-10)","Real-world utility and impact
(0-10)",Sum,"Sum / 
40",Avg,"Comments / Feedback
(May be shared with participants)",,Description,,,,Key Questions ,,,,Scoring Suggestions
Robobo,6,7,8,7,28.00,70%,7.00,Really cool UI. Not a truly new idea but it's adapted to blockchain tech in a way that makes sense. ,Creative Innovation and Novelty,"Judges assess the originality, creativity, novelty, and the innovative potential of the idea. Concepts can gain points for being unique, forward-thinking, ambitious, and distinctly original (either within the Sui ecosystem or the broader web3 space). The justification for the concept can be based on creativity, impact, or innovation rather than strictly on business viability.

Teams are evaluated on the strength and uniqueness of their idea rather than its execution or completion.

A strong score in this category can be achieved by excelling in one or more of these areas. An idea does not need to excel across all aspects to score a 10—it simply needs to demonstrate outstanding creativity or originality in some way. For example, a novel approach to gamified education does not need to have widespread real-world impact to score a 10. Similarly, a groundbreaking decentralized art project does not need immediate practical applications to achieve a high score.


",,,,"- How original is the idea within the context of the tech industry, web3, and the Sui ecosystem?
- How well does the team articulate and understand their concept? Is the explanation clear, concise, and well-structured, or does it feel sprawling or disorganized?
- How thoughtfully crafted is the strategy behind the idea? Is it targeted, ambitious, or well-defined, with a clear direction that the team is pursuing?
- How much consideration has been given to the business viability of the idea as a product or service?
- To what extent does the idea account for its position in the Sui ecosystem? Does it leverage composability, interoperability, or other unique ecosystem strengths?
- What potential social impact could this idea achieve if fully realized? What degree of impact could it have if only partially realized?
- Finally, what is the overall quality and innovation level of the idea?",,,,"0-3 (poor): The idea lacks originality or is poorly explained. There is minimal innovation, no clear creative strategy, or the concept feels derivative. The arguments might be unconvincing or incoherent, with no meaningful connection to the Sui ecosystem or the broader tech industry.
"
Bullcast: AI-driven bullish price prediction for next-gen DeFAI automation. 🚀,8,6,6,8,28.00,70%,7.00,"Needs work, lots of competition in this space but I haven't seen anything exactly like this. Nice job. ",,,,,,,,,,
Dynamic NFT Companion Agent,7,6,6,5,24.00,60%,6.00,"Cool idea, fun, doesn't address a market need (but eventually will IMO)",,,,,,,,,,
Apocalyptic World,7,6,6,7,26.00,65%,6.50,"Card games make a lot of sense for blockchain. Not really novel, but good use of the tech, and nice UI. ",,,,,,,,,,
snowfish agent,5,6,6,7,24.00,60%,6.00,Very niche. I wonder if pulling this repo into Cursor and interacting with Cursor agent would be more effective ,,,,,,,,,,"3-6 (mediocre): The idea shows some originality or creativity but lacks clarity, focus, or depth. Key components may be underdeveloped or not fully justified, and the team may struggle to demonstrate a cohesive strategy or vision. The idea may consider the Sui ecosystem or web3 but does so in a limited or unconvincing manner.
"
DeepSynth,5,8,8,8,29.00,73%,7.25,"Not novel, many DeFAI projects are doing this and I'm not sure what the differentiator here is, but it solves a really strong pain point. Abstraction is the future, nice work. ",,,,,,,,,,
Toby,6,7,7,8,28.00,70%,7.00,"I like this because rather than taking a broad brush approach to DeFAI, it targets a really specific use case (LP management). ",,,,,,,,,,
[Alberta] - Cybersecurity AI Assistant,6,8,8,8,30.00,75%,7.50,Has potential to solve a real pain point. ,,,,,,,,,,
Suikai,6,7,7,7,27.00,68%,6.75,Events-driven angle has potential but needs a lot of work before bringing to market,,,,,,,,,,"7-9 (good): The idea is original, thoughtfully articulated, and demonstrates clear creative innovation. The team has a coherent strategy and can explain the concept with clarity and depth. It shows consideration of its role in the Sui ecosystem, along with potential real-world relevance. While not all aspects are exceptional, the idea displays a strong level of creativity and novelty."
@suiware/ai-tools,8,7,7,7,29.00,73%,7.25,"Smart use of Vercel to solve a common pain point, I like that it's not overengineered ",,,,,,,,,,
SuiZa,7,6,6,7,26.00,65%,6.50,"Cool idea, not extremely novel but it could get traction",,,,,,,,,,
Marea AI,5,6,6,8,25.00,63%,6.25,"Many DeFAI projects are doing exactly this. It has potential, just need to find a strong differentiator. ",,,,,,,,,,
BackHack.dev,9,7,7,9,32.00,80%,8.00,Novel idea! I could see this being used by hackathons,,,,,,,,,,"10 (exceeding): The idea is highly innovative, groundbreaking, or exceptionally creative. It demonstrates an original approach that is either bold or highly refined, with clear potential for significant impact in the Sui ecosystem or the broader web3 landscape. Not all aspects need to excel, but the concept must display remarkable quality in creativity or innovation that justifies a perfect score."
Foam,7,6,6,7,26.00,65%,6.50,"Good UI, intents-based is obviously the future. Not a novel idea but there's room for many players here",,,,,,,,,,
Mitsui Protocol,8,8,8,8,32.00,80%,8.00,This is a step beyond other DeFAI ideas. Excited to see where it goes!,,,,,,,,,,
SuiSpark,8,6,6,6,26.00,65%,6.50,"Cool idea, LLMs are messy for this type of thing due to their hallucinatory nature. It has a lot of potential. Need to build in strong rules/rails. ",,,,,,,,,,
Rockee,6,6,6,8,26.00,65%,6.50,"Not sure what differentiates it from other DeFAI projects doing the same thing, but points for a really cool UI",Technical Functionality and Implementation,"Judges will evaluate the agent's concept and implementation, focusing on the quality of execution, functionality, and overall usability. This category assesses how well the technical aspects of the agent have been implemented, including its performance, design quality, and reliability. While not all factors are required for a top score, exceptional technical execution or a seamless user interaction experience can significantly enhance the score.
The completeness and sophistication of the implementation of the project. How much of the project is implemented? How much of the implementation is correct? How innovative is the usage of Sui features? While functionality and technical correctness are important, an agent with a well-crafted interface or an elegantly designed interaction flow can score highly, even if some technical components are incomplete or experimental.                                                                                                                                                                                                                                                                        ",,,,"- To what extent has the idea been executed? Does the product resemble a basic prototype, a minimum viable product (MVP), a polished version 1.0, or a highly refined and optimized solution?
- How well-designed is the agent? Is it engaging? Does the implementation with Sui enhance the overall experience and make the product enjoyable to use?
- How functional is the agent?
- Was there creative usage towards the functionality of the agent and the technical involvement?",,,,"0-3 (poor): No agent has been developed, or the agent is minimally functional or incomplete. It does not perform its intended tasks effectively, and there is no clear effort toward usability or interaction design.
"
Nixora,8,7,7,7,29.00,73%,7.25,,,,,,,,,,,
ASTRA,8,8,8,6,30.00,75%,7.50,"Fantastic effort on the graphics. The thing with AI applications of web3/AI tech is they are often too complex for mass adoption. This tech needs to be abstracted for the average user. Still, really impressive. ",,,,,,,,,,
Numeron,7,7,7,9,30.00,75%,7.50,Autonomous NPCs are the future! Love it,,,,,,,,,,"3-6 (mediocre): The agent is functional but lacks polish or usability, making it difficult or frustrating to interact with. There may be some effort in crafting interactions or user flows, but these decisions are ineffective or incomplete. The agent feels more like a proof of concept than a fully realized system. It performs basic tasks but lacks depth or reliability.
"
