Judge Name:,John Doe,,,,,,,"See criteria descriptions on the right
--------------> ",Judging Rubric and Descriptions,,,,,,,,,
Track to Assess:,Defi,,,,,,,,,,,,,,,,,
Airtable View URL:,,,,,,,,,,,,,,,,,,
"Project
Name","Concept /
Idea
(0-10)","Technical Functionality and Implementation
(0-10)","Complexity and sophistication
(0-10)","Real-world utility and impact
(0-10)",Sum,"Sum / 
40",Avg,"Comments / Feedback
(May be shared with participants)",,Description,,,,Key Questions ,,,,Scoring Suggestions
Bork Research Institute,7,4,4,5,20.00,50%,5.00,"Personal Defi Dashboard is nice, but execution wasn't there",Creative Innovation and Novelty,"Judges assess the originality, creativity, novelty, and the innovative potential of the idea. Concepts can gain points for being unique, forward-thinking, ambitious, and distinctly original (either within the Sui ecosystem or the broader web3 space). The justification for the concept can be based on creativity, impact, or innovation rather than strictly on business viability.

Teams are evaluated on the strength and uniqueness of their idea rather than its execution or completion.

A strong score in this category can be achieved by excelling in one or more of these areas. An idea does not need to excel across all aspects to score a 10—it simply needs to demonstrate outstanding creativity or originality in some way. For example, a novel approach to gamified education does not need to have widespread real-world impact to score a 10. Similarly, a groundbreaking decentralized art project does not need immediate practical applications to achieve a high score.


",,,,"- How original is the idea within the context of the tech industry, web3, and the Sui ecosystem?
- How well does the team articulate and understand their concept? Is the explanation clear, concise, and well-structured, or does it feel sprawling or disorganized?
- How thoughtfully crafted is the strategy behind the idea? Is it targeted, ambitious, or well-defined, with a clear direction that the team is pursuing?
- How much consideration has been given to the business viability of the idea as a product or service?
- To what extent does the idea account for its position in the Sui ecosystem? Does it leverage composability, interoperability, or other unique ecosystem strengths?
- What potential social impact could this idea achieve if fully realized? What degree of impact could it have if only partially realized?
- Finally, what is the overall quality and innovation level of the idea?",,,,"0-3 (poor): The idea lacks originality or is poorly explained. There is minimal innovation, no clear creative strategy, or the concept feels derivative. The arguments might be unconvincing or incoherent, with no meaningful connection to the Sui ecosystem or the broader tech industry.
"
PinataAI,8,8,8,7,31.00,78%,7.75,"The project is impressive, and they did a lot of work to make it usable for this hackathon (based on their github activity). This also has deep programmability with Walrus",,,,,,,,,,
Thoreau SUI-DCA Plugin,7,8,7,6,28.00,70%,7.00,Quirky Presentation -- but great showcase to DCA'ing with Aftermath. Code seems clean on first review.,,,,,,,,,,
WebLiza,0,0,0,0,0.00,0%,0.00,No Code. Demo is not that great. will ask for code on discord,,,,,,,,,,
Algonius,7,6,4,5,22.00,55%,5.50,Twitter Account created in Nov 2024. Fresh GH account created in Jan. Very clean anon behind this project. Did Solana in 2024 base on their docs https://algonius.gitbook.io/algonius ,,,,,,,,,,"3-6 (mediocre): The idea shows some originality or creativity but lacks clarity, focus, or depth. Key components may be underdeveloped or not fully justified, and the team may struggle to demonstrate a cohesive strategy or vision. The idea may consider the Sui ecosystem or web3 but does so in a limited or unconvincing manner.
"
Robobo,7,8,6,6,27.00,68%,6.75,"Love Video Games. ""Pet"" robot fighting game. Kind of unique. Testing it out, it was connectedto an AI, but still kind of hard to figure out + play. Also, not sure what transactions were actually happening on chain (logged in with Sui Web Wallet okay, but everything else was seamless or empty).",,,,,,,,,,
@elizaos/plugin-sui,0,0,0,0,0.00,0%,0.00,Nothing Burger,,,,,,,,,,
Huggo,0,0,0,0,0.00,0%,0.00,"Hmm, links to Aide Ink -- not sure here",,,,,,,,,,
Blockvestify,4,4,4,4,16.00,40%,4.00,"Demo not very good, simple eliza plugin",,,,,,,,,,"7-9 (good): The idea is original, thoughtfully articulated, and demonstrates clear creative innovation. The team has a coherent strategy and can explain the concept with clarity and depth. It shows consideration of its role in the Sui ecosystem, along with potential real-world relevance. While not all aspects are exceptional, the idea displays a strong level of creativity and novelty."
TardAInators,4,7,7,5,23.00,58%,5.75,Liked the presentation. The tech is fun (telegram + twitter eliza agents). But the value add was mostly in the demo video and eliza characters files,,,,,,,,,,
KOI POOL,7,6,6,6,25.00,63%,6.25,"Presentation was okay. There was a lot of code, but the website doesn't show it all. Need to dive into the move code to see what's going on. For now, it seems like a frontend hooked into Atoma",,,,,,,,,,
Suia,2,3,4,3,12.00,30%,3.00,Didn't work for me on devnet. Curious to know what the AI plug is...,,,,,,,,,,
Chura Garden Agent,3,4,4,3,14.00,35%,3.50,"using ipfs for nft :) -- the project is supposed to show atoma-agent working, but doesn't do a great job at that, because atoma agents seems broken?",,,,,,,,,,"10 (exceeding): The idea is highly innovative, groundbreaking, or exceptionally creative. It demonstrates an original approach that is either bold or highly refined, with clear potential for significant impact in the Sui ecosystem or the broader web3 landscape. Not all aspects need to excel, but the concept must display remarkable quality in creativity or innovation that justifies a perfect score."
Geri Gonslur,0,0,0,0,0.00,0%,0.00,Nothing Burger,,,,,,,,,,
The First AI Life,0,0,0,0,0.00,0%,0.00,"Trippy, but somehow not related to Sui...",,,,,,,,,,
Bullcast: AI-driven bullish price prediction for next-gen DeFAI automation. 🚀,7,7,7,6,27.00,68%,6.75,very clean demo of AI assisted trading with bluefin.,,,,,,,,,,
muse-poet,5,5,6,6,22.00,55%,5.50,Mint NFT with Eliza -- but uses IPFS instead of Walrus,Technical Functionality and Implementation,"Judges will evaluate the agent's concept and implementation, focusing on the quality of execution, functionality, and overall usability. This category assesses how well the technical aspects of the agent have been implemented, including its performance, design quality, and reliability. While not all factors are required for a top score, exceptional technical execution or a seamless user interaction experience can significantly enhance the score.
The completeness and sophistication of the implementation of the project. How much of the project is implemented? How much of the implementation is correct? How innovative is the usage of Sui features? While functionality and technical correctness are important, an agent with a well-crafted interface or an elegantly designed interaction flow can score highly, even if some technical components are incomplete or experimental.                                                                                                                                                                                                                                                                        ",,,,"- To what extent has the idea been executed? Does the product resemble a basic prototype, a minimum viable product (MVP), a polished version 1.0, or a highly refined and optimized solution?
- How well-designed is the agent? Is it engaging? Does the implementation with Sui enhance the overall experience and make the product enjoyable to use?
- How functional is the agent?
- Was there creative usage towards the functionality of the agent and the technical involvement?",,,,"0-3 (poor): No agent has been developed, or the agent is minimally functional or incomplete. It does not perform its intended tasks effectively, and there is no clear effort toward usability or interaction design.
"
TBD,0,0,0,0,0.00,0%,0.00,Nothing Burger,,,,,,,,,,
Dynamic NFT Companion Agent,7,8,7,6,28.00,70%,7.00,ZkLogin is nice. Cool demo with dynamic NFTs on Sui and interacting with AI to play the game.,,,,,,,,,,
CAiTH,0,0,0,0,0.00,0%,0.00,No Sui,,,,,,,,,,"3-6 (mediocre): The agent is functional but lacks polish or usability, making it difficult or frustrating to interact with. There may be some effort in crafting interactions or user flows, but these decisions are ineffective or incomplete. The agent feels more like a proof of concept than a fully realized system. It performs basic tasks but lacks depth or reliability.
"
