description,category,confidence
"Bork is an experiment built on an idea: to uncover the untapped intellectual potential of chickens, past and present, and let their clucking brilliance shine. By aligning deeply with the research of Dr. Bork von Borkenstein III, Bork explores how their wisdom can shape the future.

Now operating as an open coop (forked from AI16z’s ELIZA framework), Bork evolves as contributors refine and hatch new tools, training models, and functionality. The dream is to create a system where clucks turn into actionable breakthroughs, revolutionizing barnyard science.

Guided by the phrase 'Pium longa, vita brevis'—feathers are long, life is short—Bork dares to ask: what might be possible if we embrace the full intellectual might of the avian mind? This is a quiet, feathered revolution redefining time, creativity, and the science of borking.

All of this is to say... wait until you get roasted on X by a chicken that understands on-chain data.",Other,0.85
"An AI trading agent on Sui combines on-chain and off-chain components to operate autonomously.

The AI backend periodically gathers market data, runs the model to decide trades(all off-chain computation), then uses the Sui smart contract interface to record its decisions and take actions on-chain. For instance, the AI-Agent NFT program might send a transaction to update the NFT’s stored results in Walrus after each trade. The system is designed such that the NFT hold the necessary state(like current portfolio or strategy parameters),Walrus holds the bulk data, and the AI backend does the thinking. This separation of concerns ensures the blockchain is used for state, ownership, and execution of trades, while heavy AI processing is done off the chain.",DeFi,0.85
Thoreau is an ElizaOS plugin that leverages Bluefin and Aftermath Finance to provide Dollar Cost Average capabilities using natural language and agentic brainstorming functionality.,DeFi,0.85
"WebLiza is a powerful browser AI agent designed to automate operations and navigate the web just like a human would. Seamlessly integrated as a plugin for ElizaOS, WebLiza brings intelligence, efficiency, and automation to your browsing experience. From managing repetitive tasks to interacting with websites, WebLiza handles it all with ease, saving you time and effort. It is your digital assistant for smarter, faster, and more efficient web operations. ",Infrastructure,0.95
On-Chain AI Quantitative Trading Engine.,DeFi,0.95
"Robobo is an AI-Agent robot-raising game built on the Sui blockchain. Each Robobo is not only an NFT character but also an interactive AI companion. Players can chat with their Robobo, build a bond, influence its battle style, and equip it with gear, allowing for a truly personalized growth experience. The game features on-chain battles, AI-Agent training, and an equipment system.",Gaming,0.95
"Huggo is a decentralized network that automatically generates software code using natural language. The core team brings together top LLM algorithm experts from Harvard University, Meta, and Ericsson. After multiple rounds of technical iterations, three versions of the intelligent IDE have been successfully developed. Developers can make a leap from concept to product through natural language interaction: generate a classic Snake game in 3 minutes, or build a fully functional website in 10 minutes. This ability is turning ""programming with language"" from a dream into a reality.",Infrastructure,0.95
"Blockvestify aims to provide a one - stop DeFi investment solution, leveraging the high performance and low - cost advantages of Sui Network.",DeFi,0.95
"Our project showcases 8 autonomous AI agents, each with its own X (Twitter) account and Sui wallet, built using the Elza framework and deployed on the Sui Network. These AI agents interact in real-time, execute on-chain transactions, and evolve dynamically, demonstrating the power of decentralized AI identity.

🔹 Built with: Sui Network + Elza Framework
🔹 Features: Autonomous AI, social engagement, on-chain execution
🔹 Use Cases: AI-driven governance, trading, community interaction",Infrastructure,0.9
"AI AGENT for Healthcare,chronic disease assistants. and Music composer.",Other,0.95
"Suia integrates SocialFi and AI Agent elements, inspired by Friendtech's social tokens, Pumpfun's meme wave, and Virtual's AI Agents to deliver a unique experience. 

Each AI Agent is scarce and irreplicable, creating real value beyond simple chatbots. The platform bridges Web2 and Web3, enabling authentic interactions, like chatting with Elon Musk's AI Agent about Tesla or DOGE.",Social,0.85
"This project focuses on the protection of animals native to Okinawa, Japan, which are at risk of extinction.
""Chura"" means ""beautiful"" in Okinawan, and ""Garden"" represents a garden or paradise, symbolizing an environment where animals can live peacefully.
Chura Garden symbolizes Okinawa's beautiful nature and ecosystem, and it is an AI agent created to protect them.
By using this AI agent, users can purchase tokens and support animal protection simply by conversing with the agent. Additionally, users can obtain NFTs to prove their participation in animal conservation efforts.

Progress has been made with the development of the contract for claiming NFTs and executing the contract in TypeScript. The problem is that the ATOMA-AGENT is not working. I have read the README and asked questions on Discord, but it still doesn’t work.
I have added the function to claim the NFT to the custom protocol of ATOMA-AGENT. However, due to an API request error, it doesn’t work. Therefore, I have adjusted the video by changing the error messages to make it appear like it's functioning.",NFT,0.85
"Bullcast is an AI-powered DeFi assistant that helps users automate and optimize their trading and investment strategies. Its core strength lies in its AI-driven price prediction model, which enables smarter investment decisions. By leveraging this AI technology, Bullcast simplifies DeFi interactions and lowers the barrier to entry for users.

With Bullcast, users can forecast price movements, automate token swaps, provide liquidity, and engage in yield farming. The AI model processes real-time market data, offering actionable insights and automation capabilities on the $SUI blockchain. Developers can also integrate Bullcast’s API to access its prediction engine and DeFi automation tools.

Bullcast operates through a structured multi-layered system to process user inputs, leverage AI-driven predictions, and execute DeFi transactions efficiently.

More details on our docs: https://bullcast.gitbook.io/bullcast-docs/

Pitch deck: https://www.canva.com/design/DAGeUdE3dnk/iW4u-1yULaLmOndymKfF7Q/edit",DeFi,0.95
MusePoet is an NFT platform that uses AI to assist in poetry and music composition,NFT,0.95
"Dynamic NFT Companion Agent is a project that introduces NFTs as interactive agents that provides continuous companionship to the user during the gameplay. Leveraging the dynamic NFT capabilities of the Sui blockchain, the NFT agents are upgradable as player progresses in higher levels of the game.",Gaming,0.9
