Judge Name:,Aslan Tashtanov,,,,,,,"See criteria descriptions on the right
--------------> ",Judging Rubric and Descriptions,,,,,,,,,
Track to Assess:,Defi,,,,,,,,,,,,,,,,,
Airtable View URL:,,,,,,,,,,,,,,,,,,
"Project
Name","Concept /
Idea
(0-10)","Technical Functionality and Implementation
(0-10)","Complexity and sophistication
(0-10)","Real-world utility and impact
(0-10)",Sum,"Sum / 
40",Avg,"Comments / Feedback
(May be shared with participants)",,Description,,,,Key Questions ,,,,Scoring Suggestions
Bork Research Institute,6,4,5,7,22.00,55%,5.50,,Creative Innovation and Novelty,"Judges assess the originality, creativity, novelty, and the innovative potential of the idea. Concepts can gain points for being unique, forward-thinking, ambitious, and distinctly original (either within the Sui ecosystem or the broader web3 space). The justification for the concept can be based on creativity, impact, or innovation rather than strictly on business viability.

Teams are evaluated on the strength and uniqueness of their idea rather than its execution or completion.

A strong score in this category can be achieved by excelling in one or more of these areas. An idea does not need to excel across all aspects to score a 10—it simply needs to demonstrate outstanding creativity or originality in some way. For example, a novel approach to gamified education does not need to have widespread real-world impact to score a 10. Similarly, a groundbreaking decentralized art project does not need immediate practical applications to achieve a high score.


",,,,"- How original is the idea within the context of the tech industry, web3, and the Sui ecosystem?
- How well does the team articulate and understand their concept? Is the explanation clear, concise, and well-structured, or does it feel sprawling or disorganized?
- How thoughtfully crafted is the strategy behind the idea? Is it targeted, ambitious, or well-defined, with a clear direction that the team is pursuing?
- How much consideration has been given to the business viability of the idea as a product or service?
- To what extent does the idea account for its position in the Sui ecosystem? Does it leverage composability, interoperability, or other unique ecosystem strengths?
- What potential social impact could this idea achieve if fully realized? What degree of impact could it have if only partially realized?
- Finally, what is the overall quality and innovation level of the idea?",,,,"0-3 (poor): The idea lacks originality or is poorly explained. There is minimal innovation, no clear creative strategy, or the concept feels derivative. The arguments might be unconvincing or incoherent, with no meaningful connection to the Sui ecosystem or the broader tech industry.
"
PinataAI,5,6,5,6,22.00,55%,5.50,,,,,,,,,,,
Thoreau SUI-DCA Plugin,3,4,4,3,14.00,35%,3.50,,,,,,,,,,,
WebLiza,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Algonius,3,4,4,4,15.00,38%,3.75,,,,,,,,,,,"3-6 (mediocre): The idea shows some originality or creativity but lacks clarity, focus, or depth. Key components may be underdeveloped or not fully justified, and the team may struggle to demonstrate a cohesive strategy or vision. The idea may consider the Sui ecosystem or web3 but does so in a limited or unconvincing manner.
"
Robobo,7,7,7,6,27.00,68%,6.75,,,,,,,,,,,
@elizaos/plugin-sui,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Huggo,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Blockvestify,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"7-9 (good): The idea is original, thoughtfully articulated, and demonstrates clear creative innovation. The team has a coherent strategy and can explain the concept with clarity and depth. It shows consideration of its role in the Sui ecosystem, along with potential real-world relevance. While not all aspects are exceptional, the idea displays a strong level of creativity and novelty."
TardAInators,4,4,3,2,13.00,33%,3.25,,,,,,,,,,,
KOI POOL,3,3,3,2,11.00,28%,2.75,,,,,,,,,,,
Suia,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Chura Garden Agent,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"10 (exceeding): The idea is highly innovative, groundbreaking, or exceptionally creative. It demonstrates an original approach that is either bold or highly refined, with clear potential for significant impact in the Sui ecosystem or the broader web3 landscape. Not all aspects need to excel, but the concept must display remarkable quality in creativity or innovation that justifies a perfect score."
Geri Gonslur,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
The First AI Life,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Bullcast: AI-driven bullish price prediction for next-gen DeFAI automation. 🚀,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
muse-poet,0,0,0,0,0.00,0%,0.00,,Technical Functionality and Implementation,"Judges will evaluate the agent's concept and implementation, focusing on the quality of execution, functionality, and overall usability. This category assesses how well the technical aspects of the agent have been implemented, including its performance, design quality, and reliability. While not all factors are required for a top score, exceptional technical execution or a seamless user interaction experience can significantly enhance the score.
The completeness and sophistication of the implementation of the project. How much of the project is implemented? How much of the implementation is correct? How innovative is the usage of Sui features? While functionality and technical correctness are important, an agent with a well-crafted interface or an elegantly designed interaction flow can score highly, even if some technical components are incomplete or experimental.                                                                                                                                                                                                                                                                        ",,,,"- To what extent has the idea been executed? Does the product resemble a basic prototype, a minimum viable product (MVP), a polished version 1.0, or a highly refined and optimized solution?
- How well-designed is the agent? Is it engaging? Does the implementation with Sui enhance the overall experience and make the product enjoyable to use?
- How functional is the agent?
- Was there creative usage towards the functionality of the agent and the technical involvement?",,,,"0-3 (poor): No agent has been developed, or the agent is minimally functional or incomplete. It does not perform its intended tasks effectively, and there is no clear effort toward usability or interaction design.
"
TBD,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
Dynamic NFT Companion Agent,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
CAiTH,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"3-6 (mediocre): The agent is functional but lacks polish or usability, making it difficult or frustrating to interact with. There may be some effort in crafting interactions or user flows, but these decisions are ineffective or incomplete. The agent feels more like a proof of concept than a fully realized system. It performs basic tasks but lacks depth or reliability.
"
Apocalyptic World,6,5,6,7,24.00,60%,6.00,,,,,,,,,,,
snowfish agent,6,4,4,6,20.00,50%,5.00,,,,,,,,,,,
AIMI CLUB,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"7-9 (good): The agent is well-designed, user-friendly, and functional. It delivers on its core promises effectively, though there may be minor issues such as occasional errors, incomplete workflows, or missing features. The interaction design and user experience are intentional and cohesive, though not necessarily groundbreaking.
"
E4C - Nana AI Esports Buddy,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
DeepSynth,4,7,5,6,22.00,55%,5.50,,,,,,,,,,,
SuiGuard: AI-Powered Security Agent for NFT Scam Detection,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"10 (exceeding): An exceeding agent is a highly refined system that operates seamlessly and provides a delightful interaction experience. Its functionality is robust, its interface is thoughtfully designed, and its usability is a pleasure. The agent feels polished and complete, with potential for significant real-world impact or user adoption. It represents everything an agent should aspire to be.
"
Toby,4,5,5,6,20.00,50%,5.00,,,,,,,,,,,
[Alberta] - Cybersecurity AI Assistant,4,5,5,5,19.00,48%,4.75,,,,,,,,,,,
